hsgpa,collegegpa,n_remedial,n_switch,alt0,alt1,alt2,stress0,stress1,stress2
4.7780000000000005,2.908,0,1,-0.5,-1.0,0.0,1.0,1.0,0.5
4.54,3.87,0,1,-1.0,0.0,-0.5,0.0,0.5,-0.5
4.2,3.2,0,1,-0.5,-1.0,0.0,-0.5,-0.5,-1.0
3.7,2.8,0,1,0.0,-0.5,0.5,-0.5,-0.5,-0.5
3.3,3.0,1-2,0,0.0,1.0,0.5,0.5,0.5,-0.5
